recipe_name,ingredients,directions
Drozdzowka (Polish Yeast Plum Cake),"½ cup whole milk, 1 tablespoon all-purpose flour, 1 tablespoon white sugar, 2 (0.6 ounce) cakes cake yeast, 1 �?cups margarine, ½ cup dry bread crumbs, 4  eggs, 1 �?cups white sugar, 8 cups all-purpose flour, 4 teaspoons vanilla sugar, 1 cup whole milk, or as needed, 6 cups fresh plums, pitted and quartered, 1 ½ cups all-purpose flour, ½ cup butter, ½ cup white sugar, ½ teaspoon ground cinnamon (Optional)","In a saucepan over very low heat, warm up 1/2 cup of milk to no more than 100 degrees F (38 degrees C); stir in 1 tablespoon of flour and 1 tablespoon of sugar. Remove from heat and transfer to a bowl. Crumble the cake yeast into the milk mixture, and gently stir until the mixture becomes creamy. Cover the pan with a cloth, and set aside in a warm place until the yeast forms a spongy texture, 20 to 30 minutes.
Melt margarine in a saucepan over low heat; remove from heat and allow to cool to lukewarm.
Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish, and sprinkle with bread crumbs.
Place eggs and 1 1/8 cup sugar into a blender, and process until the mixture is yellow and fluffy. In a large mixing bowl, whisk together 8 cups of flour with vanilla sugar. Stir in the egg mixture, activated yeast mixture, and lukewarm margarine; start kneading 1 cup milk, or as needed, into the dough, a little at a time, until the dough stops sticking to your fingers and becomes smooth and even. Knead for at least 15 minutes, working to incorporate as much air as possible into the dough as you knead.
Press the dough evenly into the prepared baking sheet, and arrange the plums over the top of the dough. Set aside.
In a bowl, cut together 1 1/2 cup flour, the butter, and 1/2 cup of sugar with a pastry cutter until the mixture resembles fine crumbs; sprinkle the streusel mixture over the plums. Dust streusel with cinnamon, if desired.
Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, 1 hour to 1 hour and 10 minutes."
Judy's Brown Sauce,"10 cups peeled, cored, and roughly chopped tart apples, 10 cups pitted and halved fresh prune plums, 5 cups chopped onions, 6 cups malt vinegar, 5 cups white sugar, ½ cup salt, ½ cup Worcestershire sauce, 4 cloves garlic, minced, 2 teaspoons ground ginger, 2 teaspoons ground nutmeg, 2 teaspoons ground allspice, 2 teaspoons ground cayenne pepper, 15  half-pint canning jars with lids and rings","Working in batches, place the apples, plums and onions into the work bowl of a food processor, and grind until fine. Transfer the ground fruit and onions into a large pot, and stir in the malt vinegar, sugar, salt, Worcestershire sauce, garlic, ginger, nutmeg, allspice, and cayenne pepper until the mixture is well combined. Bring to a simmer over low heat, and simmer until brown and thickened, about 3 to 4 hours.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the sauce into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot, and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area."
Plum Custard Kuchen,"1 cup all-purpose flour, 1 tablespoon white sugar, 1 teaspoon baking powder, ½ cup butter, 2 tablespoons heavy cream, 1  egg, 2 ½ cups pitted and sliced plums, ½ cup heavy cream, ½ cup white sugar, 1  egg, 1 teaspoon vanilla extract","Preheat oven to 350 degrees F (175 degrees C). In a large bowl, mix flour, 1 tablespoon sugar and baking powder in a bowl. Cut in butter until mixture looks like coarse crumbs. Stir in 2 tablespoons whipping cream and 1 egg. Press in bottom of ungreased 9-inch square pan and arrange plums over the top.
Bake in the preheated oven for 25 to 30 minutes. While cake is baking, in a bowl, combine 1/2 cup whipping cream, 1/2 cup sugar, 1 teaspoon vanilla and 1 egg. Beat well, and pour mixture over plums and bake an additional 20 to 30 minutes or until custard is set. Serve warm or cool. Store in refrigerator."
Pork Tenderloin with Balsamic Plum Reduction,"1  pork tenderloin,   salt and ground black pepper to taste, 1 tablespoon olive oil, 1 ½  plums, pitted and chopped, 2 tablespoons balsamic vinegar, 1 tablespoon brown sugar, 1 tablespoon honey, 2 tablespoons blueberry juice (Optional)","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with foil.
Season the pork tenderloin with salt and pepper. Heat olive oil in a heavy skillet over high heat until the oil shimmers; gently lay the tenderloin into the hot oil. After about 1 minute, gently loosen the meat from the bottom of the skillet, if necessary. Cook until the pork is seared a golden brown color, about 3 minutes per side. Transfer the pork to the lined baking sheet.
Roast the seared tenderloin in the preheated oven until a thermometer inserted into the center of the pork reads at least 145 degrees F (63 degrees C), about 15 minutes. Remove the pork from the oven and allow to rest for 10 minutes before slicing into medallions.
Cook the plums, balsamic vinegar, brown sugar, honey, and blueberry juice in a small saucepan over medium-low heat, stirring often, until the plums are soft, about 10 minutes. Transfer the sauce to a blender and blend until smooth. Return the sauce to the saucepan and simmer until reduced and thickened to the consistency of apple butter, about 5 more minutes. Spoon plum sauce over the sliced pork to serve."
Plum Pudding II,"¼ cup butter, �?cup brown sugar, 1 cup milk, 12  dates, pitted and chopped, ½ cup raisins, ¼ cup dried currants, ¼ cup candied mixed fruit peel, chopped, 1  orange, zested, 1 teaspoon baking soda, 1 cup self-rising flour, 2 teaspoons ground cinnamon, 1 pinch salt","Well grease a pudding mold.
In a large saucepan combine butter, sugar, milk, dates, raisins, currants, mixed fruit peel and zest of the orange; bring to a boil. Remove from heat and stir in baking soda. Sift in the flour, cinnamon and salt; mix gently until blended. Pour into prepared pudding mold.
Cover with a double layer of greased wax paper and steam for 2 hours."
Peach and Plum Cake,"1 teaspoon unsalted butter, or as needed, 1 ½ cups white sugar, divided, 1 stick unsalted butter, room temperature, 2 extra large eggs, 1 cup plain yogurt, 1 teaspoon vanilla extract, 2 cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, 1 teaspoon ground cinnamon, 5 medium ripe plums, pitted and sliced, 3 large  ripe peaches - peeled, pitted, and sliced","Preheat the oven to 350 degrees F (175 degrees C). Butter a 9-inch square baking pan.
Beat 1 cup sugar and 1 stick butter together using an electric mixer until light and fluffy. Add eggs, 1 at a time, beating after each addition. Add yogurt and vanilla extract; mix until batter is smooth. Add flour, baking soda, baking powder, and salt to the batter and mix until just combined. Combine remaining 1/2 cup sugar and cinnamon in a separate bowl.
Spread batter evenly into the prepared pan and sprinkle with 1/2 of the cinnamon-sugar mixture. Top batter with plums and peaches; sprinkle with remaining cinnamon-sugar mixture.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 45 minutes to 1 hour, making sure not to overbake. Serve warm or at room temperature."
Prune Filling,"1 cup chopped pecans, 1 (16 ounce) can stewed prunes, 2 tablespoons white sugar, ½ teaspoon ground cinnamon, ¼ teaspoon ground cloves, 1 tablespoon lime juice","Chop pecans and prunes together in a blender or food processor, stir in the sugar, cinnamon, cloves and lime juice. Use as a filling for cookies or pastries."
Plum Chipotle Sauce,"5 quarts very ripe plums, pitted, or as needed, 4 cloves garlic, pressed, 1  onion, finely chopped, 6 cups white sugar, ½ cup apple cider vinegar, 2 tablespoons Southwest chipotle seasoning, 1 tablespoon roasted garlic seasoning, 1  jalapeno pepper, finely chopped (remove seeds for milder flavor if desired), 7 teaspoons salt, 1 teaspoon liquid smoke flavoring, 8  half-pint canning jars with lids and rings","Place the plums, a few at a time, into a colander set over a large bowl. With gloved hands, squeeze the plums in the colander, forcing the juice through the holes of the colander. Discard spent pulp, and repeat to produce 8 cups of plum juice.
Pour 3/4 cup of plum juice into a small saucepan with garlic and onion, place over medium heat, and bring to a boil. Reduce heat to medium-low, and simmer until the onion is translucent, about 5 minutes.
Pour the juice-onion mixture into a large pot, and add the remaining 7 1/2 cups of plum juice. Stir in the sugar, apple cider vinegar, Southwest chipotle seasoning, roasted garlic seasoning, jalapeno pepper, salt, and liquid smoke flavoring until the sugar and salt have dissolved. Bring the mixture to a boil over medium heat, reduce heat to a simmer, and cook the sauce down until thickened, about 1 1/2 hours. Stir frequently to prevent burning.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the sauce into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave a 2 inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area."
Fruit-Stuffed Pork Loin,"¾ cup chopped pitted prunes, ¾ cup chopped dried apricots, 1 tablespoon grated fresh ginger , 1 teaspoon grated orange zest, ½ teaspoon ground cumin, ½ teaspoon ground cinnamon,   salt and ground black pepper to taste, 1 (4 pound) boneless pork loin roast, butterflied , ¼ cup packed brown sugar, 2 teaspoons all-purpose flour, 2 teaspoons cider vinegar, 1 teaspoon ground cumin, 1 teaspoon mustard powder, ½ cup water, 1 teaspoon cornstarch, 1 tablespoon water","Preheat oven to 325 degrees F (165 degrees C).
Mix prunes, apricots, ginger, orange zest, 1/2 teaspoon cumin, and cinnamon in a bowl; season with salt and black pepper.
Open pork roast and spoon stuffing down the center; fold meat over stuffing and tie securely in several places with kitchen twine. Set roast onto a rack in a roasting pan.
Combine brown sugar, flour, cider vinegar, 1 teaspoon cumin, and mustard powder into a paste; spread brown sugar mixture over the roast.
Bake in the preheated oven until a meat thermometer inserted into center of stuffing reads 160 degrees F (70 degrees C), about 1 1/2 hours. Transfer roast to a serving platter and tent with aluminum foil while you make gravy.
Skim fat from roasting pan and transfer defatted drippings into a small saucepan. Pour 1/2 cup water into roasting pan and scrape up and dissolve any browned bits of food into water; pour into saucepan with pan juices. Bring pan juices to a boil over medium heat. Dissolve cornstarch in 1 tablespoon water in a small bowl and whisk cornstarch mixture into pan juices, stirring constantly until thickened, about 1 minute. Strain gravy into a gravy boat. Serve gravy with roast."
Plum Flummery,"2 cups plums, pitted and sliced, 1 tablespoon water (Optional), 1 (.25 ounce) package unflavored gelatin, ½ cup hot water (Optional), ½ cup white sugar, 2 tablespoons lemon juice, ½ cup evaporated milk","Place the plums into a saucepan over medium-low heat, cover, and simmer, stirring occasionally, until the plums are soft, 5 to 10 minutes. If the mixture becomes too thick or starts to burn, add a tablespoon of water. Remove from heat, and allow to cool.
Dissolve the gelatin in 1/2 cup of hot water in a bowl, and stir in the cooled plums, sugar, and lemon juice. Mix until the gelatin and sugar have dissolved. Chill the plum mixture in refrigerator until it begins to thicken, about 30 minutes. Whip the evaporated milk in a mixing bowl with an electric mixer until thick, then gently spoon the whipped milk into the plum mixture. Beat again with electric mixer until the dessert is fluffy and well combined. Chill for at least 3 hours before serving."
Ponche de Frutas (Fruit Punch),"3  oranges, juiced, 3  lemons, juiced, ½ pound seedless green grapes, halved, ½ pound plums, pitted and chopped into small bite-size pieces, 1  fresh pineapple - peeled, cored and chopped into small bite-size pieces, 1 cup white sugar, 4 cups strong brewed black tea, chilled, 4 cups crushed ice","In a large punch bowl, combine orange juice, lemon juice, grapes, plums and pineapple. Stir in sugar. Pour in tea and crushed ice.









"
Rogaliki (Polish Jam-Filled Crescents),"3 ½ ounces compressed fresh yeast, 7 tablespoons milk, 5 ½ cups all-purpose flour, or more as needed, 2 ¼ cups unsalted butter, at room temperature, 4 tablespoons sour cream, 4 tablespoons white sugar, 2  eggs, 3  egg yolks, 1 ½ cups plum jam, 2 ½ cups confectioners' sugar, 2 tablespoons water, or as needed","Stir milk and yeast together in a bowl until smooth. Set aside until foamy, about 10 minutes.
Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
Combine flour, butter, sour cream, sugar, eggs, and egg yolks in a large bowl. Stir in yeast mixture. Mix well using an electric mixer at first, then using your hands.
Turn out dough onto a floured work surface and knead until smooth, adding more flour, 1 tablespoon at a time, if dough is sticking to your hands. Form dough into a long log and cut into 1 1/2-inch rounds. Cover rounds with a cloth.
Roll each round of dough into a thin circle. Cut the circle into six triangles, as you would a pizza. Place 1 teaspoon jam at the wider end of each triangle, then roll up like a croissant. Place on the prepared baking sheet. Repeat until all the dough is used up.
Bake in the preheated oven until rogaliki have risen and are golden brown, about 20 minutes. Remove from oven and cool completely, about 30 minutes.
Place confectioners' sugar in a bowl and stir in water, 1 tablespoon at a time, until a drizzling consistency is reached. Drizzle icing over cooled rogaliki.









"
Zwetschekuchen (German Plum Tart),"4 cups all-purpose flour, 1 �?cups white sugar, 1 teaspoon grated fresh lemon peel, 1 pinch ground cinnamon, 1 cup butter, cut into chunks, 2  eggs, 2  egg yolks, 1 teaspoon water, if needed, 3 pounds Italian prune plums, 1 tablespoon white sugar, or to taste","Place the flour, 1 1/3 cup of sugar, lemon peel, cinnamon, and butter into the work bowl of a food processor, and process until the mixture turns grainy. Stop the machine, add eggs and egg yolks, and process in the machine until the mixture gathers itself up into one dough ball. If the dough doesn't ball up, stop the machine, sprinkle several drops of water onto the dough, and process again. Place the dough into a covered container and refrigerate at least 3 hours or preferably overnight.
The next day, preheat oven to 350 degrees F (175 degrees C). Allow the dough to rest at room temperature for about 30 minutes to warm up.
Roll out the dough on a well-floured surface to make a 9 1/2-inch circle. Dough will be rich and sticky. Scrape up the dough circle, and press into a 9-inch pie dish. Quarter and slice the plums, and place skin sides down onto the dough in a neat ring, starting at the outer edge and working in a neat row towards the center.
Bake in the preheated oven until the plums are bubbling hot and the crust starts to brown, about 45 minutes.
Allow the tart to cool, and sprinkle with 1 tablespoon of sugar before serving."
Plum Buckle,"7 cups pitted and quartered plums, �?cup butter, softened, 1 ½ cups white sugar, 2  eggs, 3 cups sifted all-purpose flour, 1 tablespoon baking powder, ½ teaspoon salt, 2 cups milk, 2 teaspoons vanilla extract, 1 cup white sugar, ½ cup butter, softened, ¼ cup all-purpose flour, 1 teaspoon cinnamon","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
Place the plums into the bottom of the prepared baking dish. In a large bowl, mash together 2/3 cup butter with 1 1/2 cup of white sugar until the mixture is smooth and creamy. Beat in eggs, one at a time. Stir in 3 cups of flour, the baking powder, and salt. Mix in the milk and vanilla extract to make a smooth batter. Pour the batter over the plums. Mix 1 cup of sugar, 1/2 cup of butter, 1/4 cup of flour, and cinnamon together in a bowl to make a crumbly topping; spread over the batter.
Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, 45 to 50 minutes."
Zucchini Plum Bread,"2 cups shredded zucchini, 1 cup vegetable oil, 1 cup white sugar, 1 cup packed brown sugar, 3  eggs, 2 teaspoons vanilla extract, 2 cups all-purpose flour, 1 cup whole wheat flour, 1 teaspoon baking soda, 1 teaspoon salt, 1 teaspoon ground cinnamon, ½ teaspoon baking powder, 3 cups chopped plums, 1 tablespoon white sugar, 1 teaspoon ground cinnamon","Preheat oven to 350 degrees F (175 degrees C). Line 2 bread pans with parchment paper or spray with cooking spray.
Whisk zucchini, oil, 1 cup white sugar, brown sugar, eggs, and vanilla extract together in a bowl until well mixed. Combine all-purpose flour, whole wheat flour, baking soda, salt, 1 teaspoon cinnamon, and baking powder together in a separate bowl. Gradually stir flour mixture into zucchini mixture until batter is just combined; fold in plums. Pour batter into the prepared pans.
Mix 1 tablespoon white sugar and 1 teaspoon cinnamon together in a small bowl; sprinkle over batter.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. Cool in the pans for 10 minutes before removing to cool completely on a wire rack."
Spinach Pomegranate Salad,"1 (10 ounce) bag baby spinach leaves, rinsed and drained, ½ cup walnut pieces, ½ cup crumbled feta, ¼ medium red onion, sliced very thin, ¼ cup alfalfa sprouts (Optional), ½ cup pomegranate seeds, or to taste, 4 tablespoons balsamic vinaigrette","Place spinach into a salad bowl. Top with walnuts, feta, red onion, alfalfa sprouts, and pomegranate seeds. Drizzle with vinaigrette.











Amanda
"
Chiles en Nogada (Mexican Stuffed Poblano Peppers in Walnut Sauce),8  poblano peppers,"Roast poblano chiles over an open flame on a gas stove or grill until the skin is black and charred on all sides, turning often, 10 to 15 minutes.
Place the charred chiles in a plastic bag or in a large bowl covered with plastic wrap. Allow to sit for 5 to 10 minutes, then open and peel off the skin. Cut a slit in each chile lengthwise and remove the seeds.
Heat olive oil in a large pot over medium heat. Add onion and garlic and cook until soft and translucent, 3 to 4 minutes. Add ground pork and cook until browned, breaking up with a spoon while cooking, about 7 minutes. Mix in tomatoes, plantain, apple, peach, parsley, candied orange peel, pine nuts, raisins, almonds, cloves, salt, and pepper. Simmer until filling is cooked through and flavors are well combined, about 10 minutes.
Combine walnuts, milk, goat cheese, sugar, and cinnamon stick in a blender; blend until walnut sauce is smooth and creamy.
Fill each poblano chile with the pork filling and place on a plate. Spoon walnut sauce over chile and sprinkle with pomegranate seeds and parsley.











Dotdash Meredith Food Studios
"
Christmas Pomegranate Salad,"3 cups leafy salad green mix, ½ cup pomegranate seeds, �?cup crumbled blue cheese, ¼ cup crushed walnuts, ¼ cup cranberry vinaigrette","Toss leafy greens, pomegranate seeds, blue cheese, and walnuts together in a medium-sized salad bowl. Add cranberry vinaigrette just before serving."
Brenda's Apple and Pomegranate Crisp,"4 medium apples - peeled, cored and sliced, ½  pomegranate, skin and light-colored membrane removed, ½ cup brown sugar, 1 tablespoon ground cinnamon, ½ teaspoon ground nutmeg, ½ cup rolled oats, ½ cup all-purpose flour, ½ cup white sugar, ½ cup unsalted butter, melted","Preheat the oven to 375 degrees F (190 degrees C). Butter a 9x13-inch baking dish.
In a large bowl, toss together the apples, pomegranate seeds, brown sugar, cinnamon, and nutmeg. Spread evenly into the prepared pan. In the same bowl, stir together the oats, flour and sugar. Rub in the butter between your fingers until the mixture resembles coarse crumbs. Sprinkle over the top of the fruit.
Bake for 45 minutes in the preheated oven, or until the apples are soft. Let stand 10 minutes before serving. Serve warm or at room temperature."
Pomegranate Holiday Cocktail,"3 cups ice, or as needed, 2 fluid ounces vodka, 2 fluid ounces pomegranate juice, 1  lime, juiced, ½ fluid ounce orange-flavored liqueur, 2 ½ fluid ounces club soda, or as needed, 1 teaspoon pomegranate seeds, or to taste","Fill 2 highball glasses and a cocktail shaker with ice.
Add vodka, pomegranate juice, lime juice, and orange-flavored liqueur to the cocktail shaker and secure the lid. Place one hand on the lid and one hand on the shaker; shake vigorously until the outside of the shaker frosts, about a slow count to 10.
Pour evenly into the prepared glasses. Top with soda and pomegranate seeds; stir before serving."
Pomegranate Jelly,"7 ½ cups white sugar, 4 cups pomegranate juice, 2  lemons, juiced, 1 (6 fluid ounce) container liquid pectin","Combine sugar and pomegranate and lemon juices in a large stainless steel saucepan. Bring to boil over high heat; at once, stir in liquid pectin. Bring to a full rolling boil and boil for exactly 30 seconds. Remove from heat and skim off foam.
Ladle into hot, sterilized jars to within about 1/4 inch of the top. Seal, then process in a boiling water canner for 5 minutes."
Lamb Braised in Pomegranate,"3 pounds lamb shoulder blade chops,   salt and freshly ground pepper to taste, 1 tablespoon vegetable oil, 1  onion, sliced, 1 pinch salt, 4 cloves garlic, sliced, 2 cups pomegranate juice, �?cup aged balsamic vinegar, 8  fresh mint leaves, ¼ teaspoon dried rosemary, ¼ teaspoon red pepper flakes, 1 tablespoon honey, or more to taste, 2 tablespoons pomegranate seeds, 1 tablespoon sliced fresh mint leaves, 1 tablespoon pumpkin seeds","Preheat the oven to 300 degrees F (150 degrees C).
Generously season lamb chops with salt and black pepper.
Heat vegetable oil in a Dutch oven over high heat. Place lamb chops in Dutch oven and cook until browned on all sides, about 8 minutes. Transfer lamb to a plate and reduce heat to medium.
Stir onion and a pinch of salt into the Dutch oven; cook until onions are slightly golden, about 3 minutes. Stir in garlic and cook for 30 seconds.
Pour pomegranate juice into the Dutch oven and scrape any browned bits off of the bottom of the pot. Pour in balsamic vinegar, increase heat to high, and bring to a boil.
Stir mint leaves, rosemary, and red pepper flakes into pomegranate juice mixture. Continue to boil until liquid is reduced by half, about 10 minutes. Return lamb and any accumulated juices to the Dutch oven, spoon pomegranate mixture over lamb, and cover.
Cook in the preheated oven until lamb is fork tender, about 2 hours.
Transfer lamb to a plate and set the Dutch oven on the stovetop over high heat. Bring pomegranate mixture to a boil; cook, skimming any fat that accumulates, until liquid is reduced by 1/3, about 5 minutes.
Stir in honey and season with salt and black pepper. Return lamb to the Dutch oven; stir to combine. Garnish with pomegranate seeds, sliced mint leaves, and pumpkin seeds.











Chef John/Allrecipes
"
Pomegranate Molasses Barbecue Sauce,"1 ½ tablespoons dark soy sauce, 2 tablespoons ketchup, 2 tablespoons pomegranate molasses, 2 tablespoons honey, 1 tablespoon sunflower seed oil, 1 teaspoon smooth mustard, 1 clove garlic, minced, ¼ teaspoon sea salt, ¼ teaspoon coarsely ground black pepper, ¼ teaspoon ground paprika","In a bowl, stir together the soy sauce, ketchup, pomegranate molasses, honey, sunflower seed oil, mustard, garlic, sea salt, black pepper, and paprika to make a smooth paste."
Yummy Pomegranate Vinaigrette Dressing,"1 cup olive oil, 1 cup pomegranate juice, 1 cup rice vinegar, ¼ cup white sugar, 2 tablespoons chopped shallots, 1 ¼ teaspoons chopped garlic, 1 teaspoon ground white pepper,   kosher salt to taste","Place olive oil, pomegranate juice, rice vinegar, white sugar, shallots, garlic, white pepper, and salt in a blender. Blend until smooth, about 2 minutes."
Middle Eastern Rice Pilaf with Pomegranate,"2 tablespoons olive oil, 1  onion, finely chopped, 1 cup long-grain rice, 2 ¼ cups hot vegetable broth, 4  saffron threads, 1 pinch ground allspice, 3 tablespoons unsalted shelled pistachios, 1 tablespoon butter, 1 large pomegranate, peeled and seeds separated,   salt and freshly ground black pepper","Heat oil in a saucepan over medium heat and cook onion until soft and translucent. Add rice and toast until fragrant, 2 to 3 minutes. Pour in hot vegetable broth and bring to a boil. Add saffron and allspice, reduce heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, about 20 minutes.
Toast pistachios in a skillet over medium heat until nuts start to turn golden brown and become fragrant, 5 to 10 minutes. Set aside.
Stir butter into the cooked rice. Remove from heat and mix in pistachios and pomegranate seeds. Fluff with fork and season with salt and pepper."
Pear and Pomegranate Salad,"3 cups green leaf lettuce, rinsed and torn, 1  Bartlett or Anjou pear, �?cup pomegranate seeds, 1 tablespoon vegetable oil, 2 tablespoons pomegranate juice, 1 tablespoon lemon juice, 1 teaspoon prepared Dijon-style mustard, ½ tablespoon honey,   ground black pepper to taste","Divide the lettuce between two bowls. Halve and core the pear, then cut each half in slices. Divide the pear slices and pomegranate seeds among the two bowls and mix gently.
Combine the vegetable oil, pomegranate juice, lemon juice, mustard, honey, and pepper in a saucepan. Bring to a boil over high heat; reduce heat and simmer, stirring frequently, until the dressing thickens slightly, about 2 minutes. Pour the warm dressing over the salads and serve."
Heart Healthy Blueberry Smoothie,"1 cup blueberries, ¾ cup pomegranate juice, ½ cup low-fat plain Greek-style yogurt, ½ cup skim milk, ½ cup rolled oats, ¼ cup granular sucralose sweetener (such as Splenda®), 1 teaspoon ground cinnamon","Blend blueberries, pomegranate juice, yogurt, milk, oats, sweetener, and cinnamon together in a blender until smooth, about 2 minutes."
Homemade Grenadine,"1 cup white sugar, ½ cup pomegranate juice","Pour sugar and pomegranate juice into a sauce pan and warm over low heat, whisking continuously until the sugar dissolves. Cool, pour into a bottle or jar, and store sealed in the refrigerator."
Spiced Pears and Pomegranate,"3  pears - peeled, cored and cut into wedges, 1  pomegranate, skin and light-colored membrane removed, 1 tablespoon fresh lemon juice, 2 tablespoons light brown sugar, ¼ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, 2 tablespoons finely chopped almonds (Optional), 4 sprigs fresh mint leaves for garnish (Optional)","Place the sliced pears and pomegranate seeds into a bowl. Toss with lemon juice to coat. Combine the brown sugar, nutmeg, and cinnamon in a small cup or bowl, then mix into the fruit. Cover and refrigerate for at least 1 hour before serving to blend the flavors. Serve in individual dishes, and garnish with a sprinkling of chopped almonds and a sprig of mint."
Chef John's Sweet Potato Biscuits,"1 large orange-fleshed sweet potato, peeled, 1 teaspoon salt, 1 tablespoon brown sugar, ½ cup buttermilk, 3 ¼ cups self-rising flour, 1 ½ sticks unsalted butter, frozen, 1 tablespoon melted butter","Cut sweet potato in half lengthwise. Cut each in half again lengthwise, then in half cross-wise. Cut each piece in half to make about 16 evenly sized chunks. Transfer into pot; cover with water and add salt. Bring to a simmer on high heat; reduce heat to medium-low and cook until potatoes are tender, about 17 minutes. Drain thoroughly; return to pot and mash potatoes. You will need 1 1/2 cups mashed sweet potatoes. Cool thoroughly.
Transfer cooled mashed potatoes to a mixing bowl. Add brown sugar and buttermilk. Mix together until well combined.
Place self-rising flour in a separate mixing bowl. Grate frozen butter into flour, tossing with a fork to coat with flour after each addition of about 1/3 to 1/2 stick. This will prevent butter from clumping. Mixture should look like floury pieces of butter. Add sweet potato mixture. Toss with a fork until evenly distributed, but don't overmix.
Transfer mixture onto a lightly floured work surface. Push and press mixture together into a rectangular shape, about 1 1/2 inches thick. Dough will be floury and a bit crumbly. Fold rectangle into thirds, lifting up one-third and folding onto the middle and doing the same with the other side. Dust with a bit of flour if sticking.
Preheat oven to 425 degrees F (220 degrees C). Line a rimmed baking sheet with a silicone mat.
Press dough into a rectangle again, about 1 inch thick. Repeat the tri-fold step. Press out into a rectangle, about 1 inch thick. Trim off the rough edges to square off the sides; this will maximize rising. Cut into 8 equal portions. Transfer to prepared baking pan, spacing biscuits evenly. Brush tops lightly with 1 tablespoon melted butter.
Bake in preheated oven until browned, 20 to 25 minutes. Cool slightly before serving.
Mix 4 tablespoons butter (room temperature), pomegranate syrup, and pomegranate juice together in a small bowl. Spread on warm biscuits. Sprinkle with a few pomegranate seeds for garnish.









"
Spinach and Persimmon Salad with Goat Cheese and Pomegranate,"1  Fuyu persimmon, peeled and cored, 2 cups roughly chopped spinach, 3 tablespoons pomegranate seeds, 2 ounces goat cheese, crumbled, 1 tablespoon sliced almonds","Slice persimmon into 1/4-inch rounds, then slice each round into quarters.
Place chopped spinach into a salad bowl. Top with persimmon quarters, pomegranate seeds, goat cheese, and sliced almonds.
Whisk together olive oil, orange juice, lemon juice, Dijon mustard, salt, and pepper in a small bowl. Drizzle vinaigrette over salad and toss lightly to coat. Serve immediately."
